donor_country,recipient_country,2008,2009,2010,2011,2012
AUS,ALB,..,..,..,..,..
AUS,BLR,..,..,..,..,..
AUS,BIH,..,..,..,..,..
AUS,HRV,..,..,..,..,..
AUS,CYP,..,..,..,..,..
AUS,MKD,..,..,..,..,..
AUS,MLT,..,..,..,..,..
AUS,MDA,..,..,..,..,..
AUS,MNE,..,..,..,..,..
AUS,SRB,..,..,..,..,..
AUS,SVN,..,..,..,..,..
AUS,TUR,..,..,..,..,..
AUS,UKR,..,..,..,..,..
AUS,DZA,..,..,..,..,..
AUS,EGY,..,..,..,..,..
AUS,LBY,..,..,..,..,..
AUS,MAR,..,..,..,..,..
AUS,TUN,..,..,..,..,..
AUS,AGO,..,..,..,..,..
AUS,BEN,..,..,..,..,..
AUS,BWA,..,..,..,..,..
AUS,BFA,..,..,..,..,..
AUS,BDI,..,..,..,..,..
AUS,CMR,..,..,..,..,..
AUS,CPV,..,..,..,..,..
AUS,CAF,..,..,..,..,..
AUS,TCD,..,..,..,..,..
AUS,COM,..,..,..,..,..
AUS,CDZ,..,..,..,..,..
AUS,COG,..,..,..,..,..
AUS,CIV,..,..,..,..,..
AUS,DJI,..,..,..,..,..
AUS,GNQ,..,..,..,..,..
AUS,ERI,..,..,..,..,..
AUS,ETH,..,..,..,..,..
AUS,GAB,..,..,..,..,..
AUS,GMB,..,..,..,..,..
AUS,GHA,..,..,..,..,..
AUS,GIN,..,..,..,..,..
AUS,GNB,..,..,..,..,..
AUS,KEN,..,..,..,..,..
AUS,LSO,..,..,..,..,..
AUS,LBR,..,..,..,..,..
AUS,MDG,..,..,..,..,..
AUS,MWI,..,..,..,..,..
AUS,MLI,..,..,..,..,..
AUS,MRT,..,..,..,..,..
AUS,MUS,..,..,..,..,..
AUS,MOZ,..,..,..,..,..
AUS,NAM,..,..,..,..,..
AUS,NER,..,..,..,..,..
AUS,NGA,..,..,..,..,..
AUS,RWA,..,..,..,..,..
AUS,STP,..,..,..,..,..
AUS,SEN,..,..,..,..,..
AUS,SYC,..,..,..,..,..
AUS,SLE,..,..,..,..,..
AUS,SOM,..,..,..,..,..
AUS,ZAF,0.050323,..,..,..,..
AUS,SHN,..,..,..,..,..
AUS,SDN,..,..,..,..,..
AUS,SWZ,..,..,..,..,..
AUS,TZA,..,..,..,..,..
AUS,TGO,..,..,..,..,..
AUS,UGA,..,..,..,..,..
AUS,ZMB,..,..,..,..,..
AUS,ZWE,..,..,..,..,..
AUS,AIA,..,..,..,..,..
AUS,ATG,..,..,..,..,..
AUS,ABW,..,..,..,..,..
AUS,BHS,..,..,..,..,..
AUS,BRB,..,..,..,..,..
AUS,BLZ,..,..,..,..,..
AUS,BMU,..,..,..,..,..
AUS,CYM,..,..,..,..,..
AUS,CRI,..,..,..,..,..
AUS,CUB,..,..,..,..,..
AUS,DMA,..,..,..,..,..
AUS,DOM,..,..,..,..,..
AUS,SLV,..,..,..,..,..
AUS,GRD,..,..,..,..,..
AUS,GTM,..,..,..,..,..
AUS,HTI,..,..,..,..,..
AUS,HND,..,..,..,..,..
AUS,JAM,..,..,..,0.025423,..
AUS,MEX,..,..,..,..,..
AUS,MSR,..,..,..,..,..
AUS,ANT,..,..,..,..,..
AUS,NIC,..,..,..,..,..
AUS,PAN,..,..,..,..,..
AUS,KNA,..,..,..,..,..
AUS,LCA,..,..,..,..,..
AUS,VCT,..,..,..,..,..
AUS,TTO,..,..,..,..,..
AUS,TCA,..,..,..,..,..
AUS,VGB,..,..,..,..,..
AUS,ARG,..,..,..,..,..
AUS,BOL,..,..,..,..,..
AUS,BRA,..,..,..,..,..
AUS,CHL,..,..,..,..,..
AUS,COL,0.011618,..,..,..,..
AUS,ECU,..,..,..,..,..
AUS,GUY,..,..,..,..,..
AUS,PRY,..,..,..,..,..
AUS,PER,..,..,..,..,..
AUS,SUR,..,..,..,..,..
AUS,URY,..,..,..,..,..
AUS,VEN,..,..,..,..,..
AUS,BRN,..,..,..,..,..
AUS,KHM,..,..,3.366563,..,..
AUS,CHN,..,..,..,..,..
AUS,IDN,21.873536,5.307719,7.953122,45.717783,77.768356
AUS,KOR,..,..,..,..,..
AUS,PRK,..,..,..,..,..
AUS,LAO,8.722895,0.871799,..,0.199036,0.271929
AUS,MYS,..,..,..,0.004102,..
AUS,MNG,..,..,..,..,..
AUS,PHL,49.508893,11.421237,0.224123,34.899196,19.424306
AUS,SGP,..,..,..,..,..
AUS,THA,..,..,..,..,..
AUS,TLS,0.756621,..,1.693889,12.722453,1.579739
AUS,VNM,..,..,..,..,..
AUS,AFG,..,..,..,..,6.415024
AUS,ARM,..,..,..,..,..
AUS,AZE,..,..,..,..,..
AUS,BGD,..,..,..,..,0.265886
AUS,BTN,..,..,..,..,..
AUS,GEO,..,..,..,..,..
AUS,IND,..,..,..,..,..
AUS,KAZ,..,..,..,..,..
AUS,KGZ,..,..,..,..,..
AUS,MDV,0.068637,0.013184,..,..,0.517598
AUS,MMR,..,..,..,0.172358,0.073577
AUS,NPL,..,..,..,7.232357,0.122412
AUS,PAK,0.058048,0.003074,7.139902,3.945997,16.364409
AUS,LKA,..,..,..,..,12.566977
AUS,TJK,..,..,..,..,..
AUS,TKM,..,..,..,..,..
AUS,UZB,..,..,..,..,..
AUS,BHR,..,..,..,..,..
AUS,IRN,..,..,..,..,..
AUS,IRQ,1.236705,..,..,..,2.587961
AUS,ISR,..,..,..,..,..
AUS,JOR,..,..,..,..,..
AUS,KWT,..,..,..,..,..
AUS,LBN,..,..,..,..,..
AUS,OMN,..,..,..,..,..
AUS,QAT,..,..,..,..,..
AUS,SAU,..,..,..,..,..
AUS,SYR,..,..,..,..,..
AUS,ARE,..,..,..,..,..
AUS,PSZ,..,..,..,10.339546,..
AUS,YEM,..,..,..,..,..
AUS,COK,1.846813,0.688281,..,..,0.028455
AUS,FJI,0.400874,0.90272,3.664392,0.805877,0.028455
AUS,PYF,..,..,..,..,..
AUS,KIR,2.716465,1.555378,7.345311,0.2142,0.352134
AUS,MHL,0.001381,..,..,..,0.028455
AUS,FSM,0.393239,..,..,..,0.069414
AUS,NRU,0.649529,2.396523,0.158252,2.826865,0.426696
AUS,NCL,..,..,..,..,..
AUS,NIU,..,..,..,..,0.028455
AUS,PLW,..,..,..,0.157002,0.159998
AUS,PNG,22.700043,2.155965,10.089587,10.457923,18.427787
AUS,WSM,1.01985,2.906735,2.2971,0.515582,4.07867
AUS,SLB,..,0.272656,0.917263,0.508395,3.144744
AUS,TKL,..,..,..,..,..
AUS,TON,..,1.005683,0.231482,0.066629,0.084173
AUS,TUV,..,..,0.145846,..,0.815204
AUS,VUT,17.815154,7.906411,0.205399,4.180335,0.071604
AUT,ALB,0.196008,0.200516,0.178867,0.216445,0.194113
AUT,BLR,0.009231,0.004178,0.010331,0.01015,..
AUT,BIH,0.214204,0.176407,0.317719,0.22822,0.146171
AUT,HRV,0.155418,0.190118,0.196107,..,..
AUT,CYP,..,..,..,..,..
AUT,MKD,0.142028,0.162894,0.151448,0.121063,0.127064
AUT,MLT,..,..,..,..,..
AUT,MDA,0.14685,0.142,0.163067,0.208484,0.159629
AUT,MNE,0.136093,0.105538,0.155591,0.254849,0.163958
AUT,SRB,0.224377,0.138877,0.233201,0.200882,0.182087
AUT,SVN,..,..,..,..,..
AUT,TUR,0.002164,0.002228,0.006623,..,..
AUT,UKR,0.151545,0.189503,0.224983,0.174154,0.158709
AUT,DZA,0.008077,0.006963,0.002649,0.003615,..
AUT,EGY,0.009952,0.002785,0.009007,0.004032,..
AUT,LBY,..,..,..,..,..
AUT,MAR,0.011972,0.010026,0.007542,0.002225,..
AUT,TUN,0.006202,0.004178,..,..,..
AUT,AGO,..,..,..,..,..
AUT,BEN,0.012549,0.002367,0.002649,0.003476,..
AUT,BWA,..,..,..,..,..
AUT,BFA,0.015001,0.049715,0.032117,0.012056,..
AUT,BDI,..,..,..,..,..
AUT,CMR,0.014424,0.009052,..,0.009995,..
AUT,CPV,..,0.071438,..,..,..
AUT,CAF,..,..,..,..,..
AUT,TCD,..,..,..,..,..
AUT,COM,..,..,..,..,..
AUT,CDZ,0.002019,..,..,0.008343,..
AUT,COG,..,..,..,..,..
AUT,CIV,..,0.002004,..,0.003615,..
AUT,DJI,..,..,..,..,..
AUT,GNQ,..,..,..,..,..
AUT,ERI,..,..,..,..,..
AUT,ETH,0.002885,0.002924,0.017483,0.009316,0.020565
AUT,GAB,..,..,..,..,..
AUT,GMB,..,..,..,..,..
AUT,GHA,..,..,..,0.002086,..
AUT,GIN,..,..,..,..,..
AUT,GNB,..,..,..,0.002225,..
AUT,KEN,0.011827,0.002936,..,0.022028,..
AUT,LSO,..,..,..,..,..
AUT,LBR,..,..,..,..,..
AUT,MDG,0.003894,..,0.006623,0.009733,..
AUT,MWI,..,..,..,..,..
AUT,MLI,0.002452,0.000627,..,..,..
AUT,MRT,..,..,..,..,..
AUT,MUS,..,..,..,..,..
AUT,MOZ,..,..,..,0.296132,..
AUT,NAM,..,..,..,0.003615,..
AUT,NER,..,..,..,..,..
AUT,NGA,0.008943,0.009052,0.004636,0.004867,..
AUT,RWA,..,..,..,..,..
AUT,STP,..,..,..,..,..
AUT,SEN,0.003894,0.006963,0.002649,0.011958,..
AUT,SYC,..,..,..,..,..
AUT,SLE,0.003894,0.006963,..,..,..
AUT,SOM,..,..,..,..,..
AUT,ZAF,..,0.004178,..,..,..
AUT,SHN,..,..,..,..,..
AUT,SDN,0.002279,..,..,0.009353,..
AUT,SWZ,..,..,..,..,..
AUT,TZA,..,..,..,0.005353,..
AUT,TGO,0.002452,0.004595,0.003311,0.010567,..
AUT,UGA,..,0.001043,0.000795,0.001669,..
AUT,ZMB,..,..,..,..,..
